dataset;data_type;binary_feature;fold;n;p;algorithm;penalty_type;lamb;g;simulation_seed;support_size;train_auc;test_auc;train_acc;test_acc;train_log_loss;test_log_loss;train_obj;test_obj;train_precision;train_recall;train_f1_score;train_exp_loss;test_exp_loss;train_duration;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;4;1e-05;NA;21;0.803443735278396;0.78990790976847;0.730488825146409;0.722753346080306;4773.66228232502;1212.90805718803;4857.66229931548;1296.9080741785;NA;NA;NA;6982.37227008396;1807.4752859548;3.11421918869019;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;5;1e-05;NA;20;0.801835065852196;0.789385838601492;0.728696067885742;0.725143403441683;4786.13677873348;1215.14854121949;4886.1367949598;1315.14855744581;NA;NA;NA;6999.63298908391;1806.4672382224;2.73526763916016;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;6;1e-05;NA;18;0.801902154539607;0.789084166871761;0.729054619337875;0.719407265774379;4787.64001387665;1215.23034565324;4895.64002998405;1323.23036176064;NA;NA;NA;7001.89367466348;1805.57232868789;2.97003650665283;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;7;1e-05;NA;16;0.800597744469746;0.788144255105002;0.729413170790008;0.720841300191205;4803.44316892005;1217.00094402263;4915.44318611537;1329.00096121795;NA;NA;NA;7023.16911096825;1802.27843606686;2.81944704055786;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;0.8;0.001;NA;91;0.817122532151932;0.789533230725151;0.736703716983387;0.723709369024857;4643.280728861;1201.47353663082;4716.08498520499;1274.27779297481;NA;NA;NA;6803.34630741978;1828.81633884298;15.3870105743408;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;1;0.001;NA;72;0.815156218511946;0.788902796501526;0.738615991394765;0.72131931166348;4665.1133630436;1203.4500901135;4737.11691627328;1275.45364334318;NA;NA;NA;6833.13643048079;1825.41471819312;11.8088250160217;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;2;0.001;NA;44;0.809875351793622;0.790683440288282;0.735508545476276;0.718451242829828;4716.73800440489;1204.36459799821;4804.74028880109;1292.36688239442;NA;NA;NA;6904.14600887454;1811.53868722949;6.79673099517822;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;3;0.001;NA;28;0.805794070859157;0.790174225755144;0.732640133859209;0.724665391969407;4754.96148961139;1211.61224260698;4838.96305559232;1295.61380858791;NA;NA;NA;6956.45282437519;1808.49443440257;3.524418592453;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;4;0.001;NA;21;0.803443735278396;0.78990790976847;0.730488825146409;0.722753346080306;4773.66228232502;1212.90805718803;4857.66398137179;1296.9097562348;NA;NA;NA;6982.37227008396;1807.4752859548;2.90595102310181;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;5;0.001;NA;20;0.801835065852196;0.789385838601492;0.728696067885742;0.725143403441683;4786.13677873348;1215.14854121949;4886.13840136574;1315.15016385175;NA;NA;NA;6999.63298908391;1806.4672382224;2.86172604560852;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;6;0.001;NA;18;0.801902154539607;0.789084166871761;0.729054619337875;0.719407265774379;4787.64001387665;1215.23034565324;4895.6416246168;1323.23195639338;NA;NA;NA;7001.89367466348;1805.57232868789;2.91365122795105;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;7;0.001;NA;16;0.800597744469746;0.788144255105002;0.729413170790008;0.720841300191205;4803.44316892005;1217.00094402263;4915.44488845216;1329.00266355473;NA;NA;NA;7023.16911096825;1802.27843606686;2.70843195915222;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;0.8;1e-05;NA;83;0.820169159619351;0.789810107518192;0.744233297478188;0.724187380497132;4340.79118568219;1187.57961887353;4407.47529309772;1254.26372628906;NA;NA;NA;8410.62677438635;10995.1767624858;117.801698684692;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;1;1e-05;NA;69;0.817187990112186;0.79079731333086;0.741723437313254;0.718929254302103;4365.44158042196;1189.49022584446;4434.56986750397;1258.61851292647;NA;NA;NA;8372.03319000975;13249.7329678434;58.5985686779022;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;2;1e-05;NA;37;0.810252106985314;0.793194616376413;0.735628062626987;0.720363288718929;4440.95561936822;1163.45450015806;4515.03074619859;1237.52962698843;NA;NA;NA;8408.90534652654;2462.34017274987;48.5523970127106;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;3;1e-05;NA;24;0.805505203278437;0.792892944646681;0.730249790844986;0.722753346080306;4489.68050960452;1160.38565003248;4561.7525569129;1232.45769734087;NA;NA;NA;8478.74666252759;2380.11580201699;9.39885759353638;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;4;1e-05;NA;21;0.804622379092453;0.794247023689266;0.730010756543564;0.722275334608031;4502.90532960987;1156.92141007408;4586.97481664249;1240.9908971067;NA;NA;NA;8471.024413797;2343.84384967507;6.86813259124756;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;5;1e-05;NA;19;0.80294192906211;0.79144335918129;0.729413170790008;0.719885277246654;4515.79453862853;1157.67091366466;4610.86601247628;1252.74238751242;NA;NA;NA;8459.95652462054;2299.91233158825;7.62425756454468;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;6;1e-05;NA;16;0.801319956335421;0.789936378029115;0.73060834229712;0.721797323135755;4532.31810626747;1164.47873527145;4628.39899845595;1260.55962745993;NA;NA;NA;8479.94499753105;2307.5498668372;6.69730806350708;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;7;1e-05;NA;14;0.798773389920138;0.788333431288639;0.72750089637863;0.719885277246654;4550.94467966855;1166.34805392258;4649.01798752416;1264.42136177819;NA;NA;NA;8465.52413150926;2301.43451841805;5.57572507858276;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;0.8;0.001;NA;83;0.81985740463994;0.791620597062076;0.741603920162543;0.721797323135755;4339.38341804645;1174.90404471944;4419.25351743211;1254.7741441051;NA;NA;NA;8274.44904797442;3400.66833066313;84.0577416419983;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;1;0.001;NA;65;0.816139604205926;0.792980645256086;0.74016971435401;0.719885277246654;4380.09739630237;1169.56356692427;4454.00876799258;1243.47493861448;NA;NA;NA;8373.08971713336;3300.70850610482;54.4338738918304;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;2;0.001;NA;36;0.809573552832642;0.794673129267943;0.73491095972272;0.726577437858509;4448.85612072532;1156.77759366216;4527.61529019777;1235.53676313461;NA;NA;NA;8382.82179167721;2382.82923200379;37.6565392017365;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;3;0.001;NA;25;0.806070722290827;0.794185036347541;0.735747579777698;0.723709369024857;4484.39040076358;1157.63869810503;4565.83475613812;1239.08305347956;NA;NA;NA;8416.55450728095;2365.766830982;8.62410926818848;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;4;0.001;NA;21;0.804516982621484;0.794379263351614;0.729771722242142;0.722275334608031;4503.00222323505;1156.15346273522;4593.72196890252;1246.87320840269;NA;NA;NA;8417.8346635279;2320.6636042007;6.33029127120972;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;5;0.001;NA;18;0.80251899854356;0.790336770340113;0.729293653639297;0.720363288718929;4518.72686882632;1160.70386442222;4616.26329358727;1258.24028918317;NA;NA;NA;8406.79111428429;2295.0657977256;7.80649924278259;
